benchmark,run,result
quadratic,baseline,785
quadratic,tdce,783
montgomery,baseline,17
montgomery,tdce,17
mod_pow,baseline,243
mod_pow,tdce,243
orders,baseline,5352
orders,tdce,5352
rot13,baseline,8
rot13,tdce,8
totient,baseline,253
totient,tdce,253
fib_recursive,baseline,2693
fib_recursive,tdce,2693
relative-primes,baseline,1923
relative-primes,tdce,1914
hanoi,baseline,99
hanoi,tdce,99
is-decreasing,baseline,127
is-decreasing,tdce,127
grad_desc,baseline,229
grad_desc,tdce,229
check-primes,baseline,8468
check-primes,tdce,8419
sum-sq-diff,baseline,3038
sum-sq-diff,tdce,3036
fitsinside,baseline,10
fitsinside,tdce,10
fact,baseline,229
fact,tdce,228
loopfact,baseline,116
loopfact,tdce,115
recfact,baseline,104
recfact,tdce,103
sum-to-ten,baseline,143
sum-to-ten,tdce,142
legendre,baseline,153
legendre,tdce,153
factors,baseline,72
factors,tdce,72
perfect,baseline,232
perfect,tdce,232
binpow,baseline,105
binpow,tdce,105
bitshift,baseline,167
bitshift,tdce,167
mccarthy91,baseline,1385
mccarthy91,tdce,1385
permutation,baseline,130
permutation,tdce,129
combination,baseline,178
combination,tdce,178
bin-search,baseline,358
bin-search,tdce,357
ackermann,baseline,1464231
ackermann,tdce,1464231
pythagorean_triple,baseline,61518
pythagorean_triple,tdce,61518
euclid,baseline,563
euclid,tdce,562
bbs,baseline,137
bbs,tdce,137
sum-of-cubes,baseline,8
sum-of-cubes,tdce,8
binary-fmt,baseline,100
binary-fmt,tdce,100
dayofweek,baseline,269
dayofweek,tdce,268
lcm,baseline,2326
lcm,tdce,2326
gcd,baseline,46
gcd,tdce,46
catalan,baseline,659378
catalan,tdce,659378
pascals-row,baseline,146
pascals-row,tdce,139
collatz,baseline,169
collatz,tdce,169
sqrt_bin_search,baseline,744
sqrt_bin_search,tdce,718
rectangles-area-difference,baseline,14
rectangles-area-difference,tdce,14
mod_inv,baseline,558
mod_inv,tdce,555
reverse,baseline,46
reverse,tdce,46
sum-divisible-by-m,baseline,16
sum-divisible-by-m,tdce,16
fizz-buzz,baseline,3652
fizz-buzz,tdce,3552
sum-digits,baseline,219
sum-digits,tdce,218
delannoy,baseline,5748752
delannoy,tdce,5748751
